Column #,Column ID,gene_assignment,Gene Symbol,RefSeq,Ratio(C42B vs. E06),"Fold-Change
(C42B vs. E06)","Fold-Change(C42B vs. E06)
 (Description)"
38836,17010760,"NM_001204813 // NT5E // 5-nucleotidase, ecto (CD73) // 6q14-q21 // 4907 /// NM_002526 /",NT5E,NM_001204813,5.26163,5.26163,C42B up vs E06
22494,16847839,NR_039969 // MIR5047 // microRNA 5047 // --- // 100616408 /// XR_429872 // DDX5 // DEAD,MIR5047,NR_039969,5.2663,5.2663,C42B up vs E06
40625,17028037,NM_001040437 // C6orf48 // chromosome 6 open reading frame 48 // 6p21.3 // 50854 /// NM,C6orf48,NM_001040437,5.26742,5.26742,C42B up vs E06
26257,16884204,NM_001037866 // RGPD6 // RANBP2-like and GRIP domain containing 6 // 2q13 // 729540 ///,RGPD6,NM_001037866,5.26803,5.26803,C42B up vs E06
28023,16901912,NM_001123363 // RGPD6 // RANBP2-like and GRIP domain containing 6 // 2q13 // 729540 ///,RGPD6,NM_001123363,5.26803,5.26803,C42B up vs E06
28012,16901716,NM_001037866 // RGPD6 // RANBP2-like and GRIP domain containing 6 // 2q13 // 729540 ///,RGPD6,NM_001037866,5.26804,5.26804,C42B up vs E06
39141,17013126,NM_001032394 // GPR126 // G protein-coupled receptor 126 // 6q24.1 // 57211 /// NM_0204,GPR126,NM_001032394,5.26868,5.26868,C42B up vs E06
35700,16981364,NM_001199397 // NEK1 // NIMA-related kinase 1 // 4q33 // 4750 /// NM_001199398 // NEK1 ,NEK1,NM_001199397,5.26882,5.26882,C42B up vs E06
16268,16784710,NM_001244189 // KIAA0586 // KIAA0586 // 14q23.1 // 9786 /// NM_001244190 // KIAA0586 //,KIAA0586,NM_001244189,5.26936,5.26936,C42B up vs E06
33900,16964632,XR_427477 // EVC // Ellis van Creveld syndrome // 4p16 // 2121 /// AF216184 // EVC // E,EVC,XR_427477,5.26939,5.26939,C42B up vs E06
34084,16966074,NM_025132 // WDR19 // WD repeat domain 19 // 4p14 // 57728 /// XM_006714026 // WDR19 //,WDR19,NM_025132,5.27026,5.27026,C42B up vs E06
34380,16969093,"NM_001100426 // RAP1GDS1 // RAP1, GTP-GDP dissociation stimulator 1 // 4q23-q25 // 5910",RAP1GDS1,NM_001100426,5.27076,5.27076,C42B up vs E06
44367,17069989,NM_003218 // TERF1 // telomeric repeat binding factor (NIMA-interacting) 1 // 8q21.11 /,TERF1,NM_003218,5.2715,5.2715,C42B up vs E06
10806,16731461,NM_006169 // NNMT // nicotinamide N-methyltransferase // 11q23.1 // 4837 /// ENST000002,NNMT,NM_006169,5.27667,5.27667,C42B up vs E06
34728,16972155,ENST00000261507 // MSMO1 // methylsterol monooxygenase 1 // 4q32-q34 // 6307 /// OTTHUM,MSMO1,ENST00000261507,5.27755,5.27755,C42B up vs E06
37347,16996771,"NM_019072 // SGTB // small glutamine-rich tetratricopeptide repeat (TPR)-containing, be",SGTB,NM_019072,5.27887,5.27887,C42B up vs E06
20525,16828046,NM_001289003 // PHLPP2 // PH domain and leucine rich repeat protein phosphatase 2 // 16,PHLPP2,NM_001289003,5.28196,5.28196,C42B up vs E06
24925,16871239,NM_000285 // PEPD // peptidase D // 19q13.11 // 5184 /// NM_001166056 // PEPD // peptid,PEPD,NM_000285,5.28248,5.28248,C42B up vs E06
45305,17078651,NM_022133 // SNX16 // sorting nexin 16 // 8q21.13 // 64089 /// ENST00000396330 // SNX16,SNX16,NM_022133,5.2827,5.2827,C42B up vs E06
13872,16763853,NM_001267594 // SENP1 // SUMO1/sentrin specific peptidase 1 // 12q13.1 // 29843 /// NM_,SENP1,NM_001267594,5.28342,5.28342,C42B up vs E06
27927,16900802,NM_015348 // TMEM131 // transmembrane protein 131 // 2q11.2 // 23505 /// ENST0000018643,TMEM131,NM_015348,5.28777,5.28777,C42B up vs E06
18895,16811372,"NM_001206796 // PKM // pyruvate kinase, muscle // 15q22 // 5315 /// NM_182470 // PKM //",PKM,NM_001206796,5.28795,5.28795,C42B up vs E06
22256,16845713,NM_001002909 // GPATCH8 // G patch domain containing 8 // 17q21.31 // 23131 /// NR_0364,GPATCH8,NM_001002909,5.29003,5.29003,C42B up vs E06
38691,17009399,NM_012120 // CD2AP // CD2-associated protein // 6p12 // 23607 /// ENST00000359314 // CD,CD2AP,NM_012120,5.29284,5.29284,C42B up vs E06
22500,16847897,"NM_199340 // LRRC37A3 // leucine rich repeat containing 37, member A3 // 17q24.1 // 374",LRRC37A3,NM_199340,5.29389,5.29389,C42B up vs E06
11265,16735889,"NM_001256686 // CSNK2A3 // casein kinase 2, alpha 3 polypeptide // 11p15.3 // 283106 //",CSNK2A3,NM_001256686,5.29412,5.29412,C42B up vs E06
51025,17121366,ENST00000562687 // HERC2P5 // hect domain and RLD 2 pseudogene 5 // --- // --- /// ENST,HERC2P5,ENST00000562687,5.29986,5.29986,C42B up vs E06
8513,16707631,"NM_001165979 // PLCE1 // phospholipase C, epsilon 1 // 10q23 // 51196 /// NM_001288989 ",PLCE1,NM_001165979,5.30124,5.30124,C42B up vs E06
38997,17011895,NM_152729 // NT5DC1 // 5-nucleotidase domain containing 1 // 6q22.1 // 221294 /// ENST0,NT5DC1,NM_152729,5.30205,5.30205,C42B up vs E06
6885,16692135,NM_006468 // POLR3C // polymerase (RNA) III (DNA directed) polypeptide C (62kD) // 1q21,POLR3C,NM_006468,5.30369,5.30369,C42B up vs E06
37729,16999974,NM_020199 // C5orf15 // chromosome 5 open reading frame 15 // 5q31.1 // 56951 /// ENST0,C5orf15,NM_020199,5.30674,5.30674,C42B up vs E06
6730,16690511,"NM_005645 // TAF13 // TAF13 RNA polymerase II, TATA box binding protein (TBP)-associate",TAF13,NM_005645,5.30721,5.30721,C42B up vs E06
11846,16741864,NM_014824 // FCHSD2 // FCH and double SH3 domains 2 // 11q13.4 // 9873 /// ENST00000311,FCHSD2,NM_014824,5.30806,5.30806,C42B up vs E06
37251,16995938,NM_198566 // C5orf34 // chromosome 5 open reading frame 34 // 5p12 // 375444 /// XM_006,C5orf34,NM_198566,5.31176,5.31176,C42B up vs E06
40088,17022529,"NM_001024934 // WASF1 // WAS protein family, member 1 // 6q21 // 8936 /// NM_001024935 ",WASF1,NM_001024934,5.31176,5.31176,C42B up vs E06
18337,16805218,NR_037601 // LOC100507217 // uncharacterized LOC100507217 // --- // 100507217 /// uc021,LOC100507217,NR_037601,5.31358,5.31358,C42B up vs E06
52342,17124006,OTTHUMT00000367003 // CTD-2127H9.1 // novel transcript // --- // ---,CTD-2127H9.1,OTTHUMT00000367003,5.31402,5.31402,C42B up vs E06
19659,16819244,"ENST00000567054 // MT1CP // metallothionein 1C, pseudogene // --- // --- /// OTTHUMT000",MT1CP,ENST00000567054,5.31664,5.31664,C42B up vs E06
44515,17071412,NM_003114 // SPAG1 // sperm associated antigen 1 // 8q22.2 // 6674 /// ENST00000388798 ,SPAG1,NM_003114,5.31696,5.31696,C42B up vs E06
16851,16790464,NM_001344 // DAD1 // defender against cell death 1 // 14q11.2 // 1603 /// ENST000005358,DAD1,NM_001344,5.31764,5.31764,C42B up vs E06
36705,16991018,NM_014983 // HMGXB3 // HMG box domain containing 3 // 5q32 // 22993 /// ENST00000502717,HMGXB3,NM_014983,5.31844,5.31844,C42B up vs E06
34917,16973871,NM_032927 // TMEM128 // transmembrane protein 128 // 4p16.3 // 85013 /// ENST0000025474,TMEM128,NM_032927,5.32304,5.32304,C42B up vs E06
40038,17021978,NM_001013399 // CCNC // cyclin C // 6q21 // 892 /// NM_005190 // CCNC // cyclin C // 6q,CCNC,NM_001013399,5.32483,5.32483,C42B up vs E06
6496,16688024,NM_001271999 // DOCK7 // dedicator of cytokinesis 7 // 1p31.3 // 85440 /// NM_001272000,DOCK7,NM_001271999,5.32534,5.32534,C42B up vs E06
25551,16876950,"NM_005680 // TAF1B // TATA box binding protein (TBP)-associated factor, RNA polymerase ",TAF1B,NM_005680,5.33425,5.33425,C42B up vs E06
19006,16812717,NM_025238 // BTBD1 // BTB (POZ) domain containing 1 // 15q24 // 53339 /// ENST000002617,BTBD1,NM_025238,5.33435,5.33435,C42B up vs E06
28163,16903090,NM_005915 // MCM6 // minichromosome maintenance complex component 6 // 2q21 // 4175 ///,MCM6,NM_005915,5.33486,5.33486,C42B up vs E06
21021,16833139,"NM_001270482 // PSMD11 // proteasome (prosome, macropain) 26S subunit, non-ATPase, 11 /",PSMD11,NM_001270482,5.3349,5.3349,C42B up vs E06
17820,16799231,"NM_152594 // SPRED1 // sprouty-related, EVH1 domain containing 1 // 15q14 // 161742 ///",SPRED1,NM_152594,5.33698,5.33698,C42B up vs E06
39322,17014963,NM_018303 // EXOC2 // exocyst complex component 2 // 6p25.3 // 55770 /// NR_073064 // E,EXOC2,NM_018303,5.34569,5.34569,C42B up vs E06
5916,16681390,ENST00000414948 // ENO1-IT1 // ENO1 intronic transcript 1 (non-protein coding) // --- /,ENO1-IT1,ENST00000414948,5.34724,5.34724,C42B up vs E06
20779,16830326,NM_203413 // ELP5 // elongator acetyltransferase complex subunit 5 // 17p13.1 // 23587 ,ELP5,NM_203413,5.34743,5.34743,C42B up vs E06
5028,16672279,NM_001286349 // KIRREL // kin of IRRE like (Drosophila) // 1q21-q25 // 55243 /// NM_018,KIRREL,NM_001286349,5.34793,5.34793,C42B up vs E06
9295,16715316,"NM_001002762 // DNAJB12 // DnaJ (Hsp40) homolog, subfamily B, member 12 // 10q22.1 // 5",DNAJB12,NM_001002762,5.34843,5.34843,C42B up vs E06
40907,17031855,NM_004640 // DDX39B // DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B // 6p21.3 // 7919 ///,DDX39B,NM_004640,5.35089,5.35089,C42B up vs E06
41105,17034327,NM_004640 // DDX39B // DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B // 6p21.3 // 7919 ///,DDX39B,NM_004640,5.35089,5.35089,C42B up vs E06
41283,17036575,NM_004640 // DDX39B // DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B // 6p21.3 // 7919 ///,DDX39B,NM_004640,5.35089,5.35089,C42B up vs E06
41484,17039368,NM_004640 // DDX39B // DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B // 6p21.3 // 7919 ///,DDX39B,NM_004640,5.35089,5.35089,C42B up vs E06
17116,16793438,ENST00000555037 // FLJ31306 // uncharacterized LOC379025 // 14q23.1 // 379025 /// ENST0,FLJ31306,ENST00000555037,5.35273,5.35273,C42B up vs E06
28474,16907353,NM_020919 // ALS2 // amyotrophic lateral sclerosis 2 (juvenile) // 2q33.1 // 57679 /// ,ALS2,NM_020919,5.35389,5.35389,C42B up vs E06
35927,16983152,ENST00000509788 // SNHG18 // small nucleolar RNA host gene 18 (non-protein coding) // -,SNHG18,ENST00000509788,5.35747,5.35747,C42B up vs E06
6157,16684142,"ENST00000459460 // RNU7-45P // RNA, U7 small nuclear 45 pseudogene // --- // ---",RNU7-45P,ENST00000459460,5.35765,5.35765,C42B up vs E06
40267,17024394,NM_001080951 // PLAGL1 // pleiomorphic adenoma gene-like 1 // 6q24-q25 // 5325 /// NM_0,PLAGL1,NM_001080951,5.36439,5.36439,C42B up vs E06
8015,16703114,NM_001204062 // COMMD3-BMI1 // COMMD3-BMI1 readthrough // --- // 100532731 /// NM_00518,COMMD3-BMI1,NM_001204062,5.36731,5.36731,C42B up vs E06
10000,16722603,NM_001165414 // LDHA // lactate dehydrogenase A // 11p15.4 // 3939 /// NM_001165416 // ,LDHA,NM_001165414,5.36784,5.36784,C42B up vs E06
51254,17121824,NR_026903 // AMZ2P1 // archaelysin family metallopeptidase 2 pseudogene 1 // 17q24.1 //,AMZ2P1,NR_026903,5.36819,5.36819,C42B up vs E06
38784,17010273,NR_120503 // KCNQ5-IT1 // KCNQ5 intronic transcript 1 (non-protein coding) // 6q13 // 1,KCNQ5-IT1,NR_120503,5.36945,5.36945,C42B up vs E06
8406,16706562,NR_029407 // LOC642361 // uncharacterized LOC642361 // 10q22.3 // 642361 /// ENST000006,LOC642361,NR_029407,5.37044,5.37044,C42B up vs E06
39140,17013114,NM_001286371 // VTA1 // vesicle (multivesicular body) trafficking 1 // 6q24.1 // 51534 ,VTA1,NM_001286371,5.37255,5.37255,C42B up vs E06
22018,16843131,NM_015986 // CRLF3 // cytokine receptor-like factor 3 // 17q11.2 // 51379 /// NR_073118,CRLF3,NM_015986,5.37849,5.37849,C42B up vs E06
51997,17123312,NM_001161009 // ARMC10 // armadillo repeat containing 10 // 7q22.1 // 83787 /// NM_0011,ARMC10,NM_001161009,5.38384,5.38384,C42B up vs E06
20872,16831413,"NM_004278 // PIGL // phosphatidylinositol glycan anchor biosynthesis, class L // 17p12-",PIGL,NM_004278,5.38598,5.38598,C42B up vs E06
47086,17095775,NM_002161 // IARS // isoleucyl-tRNA synthetase // 9q21 // 3376 /// NM_013417 // IARS //,IARS,NM_002161,5.38938,5.38938,C42B up vs E06
13490,16759622,NM_001256279 // ZNF26 // zinc finger protein 26 // 12q24.33 // 7574 /// NM_001256280 //,ZNF26,NM_001256279,5.38992,5.38992,C42B up vs E06
10087,16723507,NM_001144030 // NAT10 // N-acetyltransferase 10 (GCN5-related) // 11p13 // 55226 /// NM,NAT10,NM_001144030,5.39493,5.39493,C42B up vs E06
28082,16902357,NM_032390 // NIFK // nucleolar protein interacting with the FHA domain of MKI67 // 2q14,NIFK,NM_032390,5.39741,5.39741,C42B up vs E06
6457,16687638,NM_015306 // USP24 // ubiquitin specific peptidase 24 // 1p32.3 // 23358 /// ENST000002,USP24,NM_015306,5.40124,5.40124,C42B up vs E06
45814,17083855,NM_017925 // DENND4C // DENN/MADD domain containing 4C // 9p22.1 // 55667 /// NR_073201,DENND4C,NM_017925,5.40138,5.40138,C42B up vs E06
8525,16707872,NM_001134375 // CCNJ // cyclin J // 10q23.33 // 54619 /// NM_001134376 // CCNJ // cycli,CCNJ,NM_001134375,5.40845,5.40845,C42B up vs E06
34348,16968697,NM_000297 // PKD2 // polycystic kidney disease 2 (autosomal dominant) // 4q22.1 // 5311,PKD2,NM_000297,5.4093,5.4093,C42B up vs E06
19675,16819484,NM_002996 // CX3CL1 // chemokine (C-X3-C motif) ligand 1 // 16q13 // 6376 /// ENST00000,CX3CL1,NM_002996,5.41327,5.41327,C42B up vs E06
8005,16703036,NM_001282736 // PLXDC2 // plexin domain containing 2 // 10p12.31 // 84898 /// NM_032812,PLXDC2,NM_001282736,5.41445,5.41445,C42B up vs E06
48154,17105706,NM_001006612 // WBP5 // WW domain binding protein 5 // Xq22.2 // 51186 /// NM_016303 //,WBP5,NM_001006612,5.41672,5.41672,C42B up vs E06
44855,17074490,"NM_001201329 // PPP1R3B // protein phosphatase 1, regulatory subunit 3B // 8p23.1 // 79",PPP1R3B,NM_001201329,5.41783,5.41783,C42B up vs E06
36159,16985353,NM_001253699 // ERBB2IP // erbb2 interacting protein // 5q12.3 // 55914 /// ENST0000028,ERBB2IP,NM_001253699,5.42321,5.42321,C42B up vs E06
44103,17067566,NM_001008710 // RBPMS // RNA binding protein with multiple splicing // 8p12 // 11030 //,RBPMS,NM_001008710,5.42324,5.42324,C42B up vs E06
47986,17104217,"NM_007157 // ZXDB // zinc finger, X-linked, duplicated B // Xp11.21 // 158586 /// ENST0",ZXDB,NM_007157,5.42402,5.42402,C42B up vs E06
45261,17078330,NM_001271015 // UBE2W // ubiquitin-conjugating enzyme E2W (putative) // 8q21.11 // 5528,UBE2W,NM_001271015,5.42566,5.42566,C42B up vs E06
29424,16917054,NM_152611 // LRRN4 // leucine rich repeat neuronal 4 // 20p12.3 // 164312 /// ENST00000,LRRN4,NM_152611,5.42726,5.42726,C42B up vs E06
22893,16852025,NM_001281739 // FHOD3 // formin homology 2 domain containing 3 // 18q12 // 80206 /// NM,FHOD3,NM_001281739,5.42826,5.42826,C42B up vs E06
20716,16829667,"NM_000430 // PAFAH1B1 // platelet-activating factor acetylhydrolase 1b, regulatory subu",PAFAH1B1,NM_000430,5.429,5.429,C42B up vs E06
33312,16957884,NM_007085 // FSTL1 // follistatin-like 1 // 3q13.33 // 11167 /// ENST00000295633 // FST,FSTL1,NM_007085,5.42962,5.42962,C42B up vs E06
9542,16718252,XR_424175 // LOC102724418 // uncharacterized LOC102724418 // --- // 102724418,LOC102724418,XR_424175,5.42994,5.42994,C42B up vs E06
46091,17086305,"ENST00000515943 // RNU4-29P // RNA, U4 small nuclear 29, pseudogene // --- // ---",RNU4-29P,ENST00000515943,5.4305,5.4305,C42B up vs E06
27354,16895772,"NM_001035521 // GTF3C2 // general transcription factor IIIC, polypeptide 2, beta 110kDa",GTF3C2,NM_001035521,5.43469,5.43469,C42B up vs E06
18505,16806834,NM_020154 // EMC7 // ER membrane protein complex subunit 7 // 15q14 // 56851 /// ENST00,EMC7,NM_020154,5.43893,5.43893,C42B up vs E06
40166,17023352,NM_001002030 // ECHDC1 // enoyl CoA hydratase domain containing 1 // 6q22.33 // 55862 /,ECHDC1,NM_001002030,5.44278,5.44278,C42B up vs E06
13145,16755542,ENST00000547045 // APAF1 // apoptotic peptidase activating factor 1 // 12q23 // 317 ///,APAF1,ENST00000547045,5.44294,5.44294,C42B up vs E06
36226,16986203,NM_000521 // HEXB // hexosaminidase B (beta polypeptide) // 5q13 // 3074 /// NM_0012920,HEXB,NM_000521,5.44977,5.44977,C42B up vs E06
50618,17120552,OTTHUMT00000049005 // RP11-773D16.1 // novel transcript // --- // --- /// OTTHUMT000000,RP11-773D16.1,OTTHUMT00000049005,5.45062,5.45062,C42B up vs E06
6759,16690760,NM_018372 // LRIF1 // ligand dependent nuclear receptor interacting factor 1 // 1p13.3 ,LRIF1,NM_018372,5.45305,5.45305,C42B up vs E06
32465,16947974,NM_001135095 // FNDC3B // fibronectin type III domain containing 3B // 3q26.31 // 64778,FNDC3B,NM_001135095,5.45398,5.45398,C42B up vs E06
33725,16962584,NM_001706 // BCL6 // B-cell CLL/lymphoma 6 // 3q27 // 604 /// ENST00000406870 // BCL6 /,BCL6,NM_001706,5.4558,5.4558,C42B up vs E06
35083,16975310,NM_003359 // UGDH // UDP-glucose 6-dehydrogenase // 4p15.1 // 7358 /// XM_006714029 // ,UGDH,NM_003359,5.45661,5.45661,C42B up vs E06
32048,16943490,NR_026934 // LOC152225 // uncharacterized LOC152225 // 3q12.3 // 152225 /// ENST0000046,LOC152225,NR_026934,5.46011,5.46011,C42B up vs E06
28846,16911238,NM_001127458 // CRLS1 // cardiolipin synthase 1 // 20p13-p12.3 // 54675 /// NM_019095 /,CRLS1,NM_001127458,5.46122,5.46122,C42B up vs E06
16207,16784098,NM_001042481 // FRMD6 // FERM domain containing 6 // 14q22.1 // 122786 /// NM_001267046,FRMD6,NM_001042481,5.46242,5.46242,C42B up vs E06
4367,16665182,"NM_006252 // PRKAA2 // protein kinase, AMP-activated, alpha 2 catalytic subunit // 1p31",PRKAA2,NM_006252,5.46386,5.46386,C42B up vs E06
50519,17120354,XR_242755 // LOC101929475 // uncharacterized LOC101929475 // --- // 101929475 /// ENST0,LOC101929475,XR_242755,5.4643,5.4643,C42B up vs E06
26857,16890126,"NM_015040 // PIKFYVE // phosphoinositide kinase, FYVE finger containing // 2q34 // 2005",PIKFYVE,NM_015040,5.46879,5.46879,C42B up vs E06
4800,16669783,ENST00000479995 // NOTCH2NL // notch 2 N-terminal like // 1q21.2 // 388677 /// OTTHUMT0,NOTCH2NL,ENST00000479995,5.47001,5.47001,C42B up vs E06
9061,16712960,NM_018109 // MTPAP // mitochondrial poly(A) polymerase // 10p11.23 // 55149 /// ENST000,MTPAP,NM_018109,5.47132,5.47132,C42B up vs E06
5931,16681511,NM_032368 // LZIC // leucine zipper and CTNNBIP1 domain containing // 1p36.22 // 84328 ,LZIC,NM_032368,5.47293,5.47293,C42B up vs E06
8169,16704397,"NM_001169106 // FAM21C // family with sequence similarity 21, member C // 10q11.1 // 25",FAM21C,NM_001169106,5.4733,5.4733,C42B up vs E06
43854,17065047,NM_001242480 // LOC389831 // uncharacterized LOC389831 // --- // 389831 /// XM_00672394,LOC389831,NM_001242480,5.47374,5.47374,C42B up vs E06
36343,16987531,NM_001130140 // ERAP2 // endoplasmic reticulum aminopeptidase 2 // 5q15 // 64167 /// NM,ERAP2,NM_001130140,5.47972,5.47972,C42B up vs E06
36417,16988228,NM_001195581 // ARL14EPL // ADP-ribosylation factor-like 14 effector protein-like // 5q,ARL14EPL,NM_001195581,5.48828,5.48828,C42B up vs E06
21794,16840723,NM_133491 // SAT2 // spermidine/spermine N1-acetyltransferase family member 2 // 17p13.,SAT2,NM_133491,5.4891,5.4891,C42B up vs E06
41764,17043258,NM_001040661 // SLC29A4 // solute carrier family 29 (equilibrative nucleoside transport,SLC29A4,NM_001040661,5.48933,5.48933,C42B up vs E06
5895,16681192,NM_024654 // NOL9 // nucleolar protein 9 // 1p36.31 // 79707 /// XM_005263493 // NOL9 /,NOL9,NM_024654,5.48934,5.48934,C42B up vs E06
5467,16677254,"NR_004389 // SNORA16B // small nucleolar RNA, H/ACA box 16B // 1q32.3 // 692157 /// ENS",SNORA16B,NR_004389,5.49169,5.49169,C42B up vs E06
50771,17120858,"NM_006437 // PARP4 // poly (ADP-ribose) polymerase family, member 4 // 13q11 // 143 ///",PARP4,NM_006437,5.49404,5.49404,C42B up vs E06
5181,16673899,NM_001282750 // SUCO // SUN domain containing ossification factor // 1q24 // 51430 /// ,SUCO,NM_001282750,5.50146,5.50146,C42B up vs E06
44005,17066302,"ENST00000523482 // ATP6V1B2 // ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit ",ATP6V1B2,ENST00000523482,5.50259,5.50259,C42B up vs E06
11693,16740412,NM_001130144 // LTBP3 // latent transforming growth factor beta binding protein 3 // 11,LTBP3,NM_001130144,5.50717,5.50717,C42B up vs E06
36364,16987720,NM_001276277 // PPIP5K2 // diphosphoinositol pentakisphosphate kinase 2 // 5q21.1 // 23,PPIP5K2,NM_001276277,5.50976,5.50976,C42B up vs E06
47285,17097880,NM_012164 // FBXW2 // F-box and WD repeat domain containing 2 // 9q34 // 26190 /// XM_0,FBXW2,NM_012164,5.51008,5.51008,C42B up vs E06
40273,17024448,NM_032145 // FBXO30 // F-box protein 30 // 6q24 // 84085 /// ENST00000237281 // FBXO30 ,FBXO30,NM_032145,5.51065,5.51065,C42B up vs E06
18081,16802106,NM_016395 // PTPLAD1 // protein tyrosine phosphatase-like A domain containing 1 // 15q2,PTPLAD1,NM_016395,5.51102,5.51102,C42B up vs E06
39798,17019208,NM_018141 // MRPS10 // mitochondrial ribosomal protein S10 // 6p21.1 // 55173 /// ENST0,MRPS10,NM_018141,5.51161,5.51161,C42B up vs E06
34467,16969911,"NM_001127493 // ANK2 // ankyrin 2, neuronal // 4q25-q27 // 287 /// NM_001148 // ANK2 //",ANK2,NM_001127493,5.51398,5.51398,C42B up vs E06
26485,16886503,NM_001177663 // RIF1 // replication timing regulatory factor 1 // 2q23.3 // 55183 /// N,RIF1,NM_001177663,5.51398,5.51398,C42B up vs E06
6026,16682425,NM_001136204 // RCC2 // regulator of chromosome condensation 2 // 1p36.13 // 55920 /// ,RCC2,NM_001136204,5.5151,5.5151,C42B up vs E06
46403,17089119,NM_001134778 // PBX3 // pre-B-cell leukemia homeobox 3 // 9q33.3 // 5090 /// NM_006195 ,PBX3,NM_001134778,5.51608,5.51608,C42B up vs E06
11407,16737298,NM_015957 // APIP // APAF1 interacting protein // 11p13 // 51074 /// ENST00000395787 //,APIP,NM_015957,5.51638,5.51638,C42B up vs E06
40624,17028030,NM_001040437 // C6orf48 // chromosome 6 open reading frame 48 // 6p21.3 // 50854 /// NM,C6orf48,NM_001040437,5.51686,5.51686,C42B up vs E06
5351,16675844,NM_018085 // IPO9 // importin 9 // 1q32.1 // 55705 /// ENST00000361565 // IPO9 // impor,IPO9,NM_018085,5.51932,5.51932,C42B up vs E06
10181,16724633,"NM_002843 // PTPRJ // protein tyrosine phosphatase, receptor type, J // 11p11.2 // 5795",PTPRJ,NM_002843,5.52059,5.52059,C42B up vs E06
14343,16769007,NM_001006947 // UHRF1BP1L // UHRF1 binding protein 1-like // 12q23.1 // 23074 /// NM_01,UHRF1BP1L,NM_001006947,5.52294,5.52294,C42B up vs E06
6816,16691403,NM_001144822 // CD58 // CD58 molecule // 1p13 // 965 /// NM_001779 // CD58 // CD58 mole,CD58,NM_001144822,5.52656,5.52656,C42B up vs E06
35414,16978728,NM_001163435 // TBCK // TBC1 domain containing kinase // 4q24 // 93627 /// NM_001163436,TBCK,NM_001163435,5.53131,5.53131,C42B up vs E06
44443,17070653,NM_001126111 // OSGIN2 // oxidative stress induced growth inhibitor family member 2 // ,OSGIN2,NM_001126111,5.53197,5.53197,C42B up vs E06
7388,16697196,"NM_052966 // FAM129A // family with sequence similarity 129, member A // 1q25 // 116496",FAM129A,NM_052966,5.53367,5.53367,C42B up vs E06
8233,16705064,NM_001204880 // UBE2D1 // ubiquitin-conjugating enzyme E2D 1 // 10q21.1 // 7321 /// NM_,UBE2D1,NM_001204880,5.53409,5.53409,C42B up vs E06
52476,17124274,NM_001258423 // SMS // spermine synthase // Xp22.1 // 6611 /// NM_004595 // SMS // sper,SMS,NM_001258423,5.53586,5.53586,C42B up vs E06
51257,17121830,NR_026903 // AMZ2P1 // archaelysin family metallopeptidase 2 pseudogene 1 // 17q24.1 //,AMZ2P1,NR_026903,5.53642,5.53642,C42B up vs E06
28334,16905322,NM_001256090 // ATF2 // activating transcription factor 2 // 2q32 // 1386 /// NR_045768,ATF2,NM_001256090,5.53764,5.53764,C42B up vs E06
18795,16810341,NM_001218 // CA12 // carbonic anhydrase XII // 15q22 // 771 /// NM_001293642 // CA12 //,CA12,NM_001218,5.54146,5.54146,C42B up vs E06
47698,17101543,"ENST00000380636 // TMSB4X // thymosin beta 4, X-linked // Xq21.3-q22 // 7114 /// AK0559",TMSB4X,ENST00000380636,5.54168,5.54168,C42B up vs E06
16962,16791873,ENST00000396526 // SNX6 // sorting nexin 6 // 14q13.1 // 58533 /// ENST00000556162 // S,SNX6,ENST00000396526,5.5434,5.5434,C42B up vs E06
18905,16811500,NM_001161363 // NPTN // neuroplastin // 15q22 // 27020 /// NM_001161364 // NPTN // neur,NPTN,NM_001161363,5.55315,5.55315,C42B up vs E06
7982,16702747,NM_001001484 // PTER // phosphotriesterase related // 10p12 // 9317 /// NM_001261836 //,PTER,NM_001001484,5.55928,5.55928,C42B up vs E06
41991,17045538,"ENST00000517174 // RNU7-35P // RNA, U7 small nuclear 35 pseudogene // --- // ---",RNU7-35P,ENST00000517174,5.56247,5.56247,C42B up vs E06
45811,17083847,NM_006570 // RRAGA // Ras-related GTP binding A // 9p22.1 // 10670 /// ENST00000380527 ,RRAGA,NM_006570,5.56366,5.56366,C42B up vs E06
28108,16902623,"NM_001145928 // SAP130 // Sin3A-associated protein, 130kDa // 2q14.3 // 79595 /// NM_02",SAP130,NM_001145928,5.5654,5.5654,C42B up vs E06
44672,17072799,NM_001277196 // PHF20L1 // PHD finger protein 20-like 1 // 8q24.22 // 51105 /// NM_0160,PHF20L1,NM_001277196,5.56614,5.56614,C42B up vs E06
13123,16755498,NM_001032283 // TMPO // thymopoietin // 12q22 // 7112 /// NM_003276 // TMPO // thymopoi,TMPO,NM_001032283,5.57184,5.57184,C42B up vs E06
14231,16767851,NM_203394 // E2F7 // E2F transcription factor 7 // 12q21.2 // 144455 /// ENST0000032288,E2F7,NM_203394,5.57379,5.57379,C42B up vs E06
50447,17120210,NM_080656 // CDKN2AIPNL // CDKN2A interacting protein N-terminal like // 5q31.1 // 9136,CDKN2AIPNL,NM_080656,5.57414,5.57414,C42B up vs E06
